program,coefficient,standard_error,z_score,p_value,n_genes,q_value,n_program_genes,trait,level
Neuronal,-0.08454623154426405,0.22515800844909145,-0.3754973324139171,0.7072906299751542,18506,0.9131207993052632,100,AD_FinnGen_R11,class
Non-neuronal,-0.024566868541717714,0.22517134853240986,-0.1091029951272051,0.9131207993052632,18506,0.9131207993052632,100,AD_FinnGen_R11,class
