program,coefficient,standard_error,z_score,p_value,n_genes,q_value,n_program_genes,trait,level
MGE_257,-0.1385978566494341,0.21937937725950327,-0.6317724955773171,0.527535548580402,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MSN_213,-0.13450855850235896,0.2180452206817236,-0.6168837733834052,0.5373113904607885,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
CGE_278,-0.14077982927538696,0.22877462278435892,-0.6153647094332,0.5383138919545247,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MGE_244,-0.13680309100435,0.2238536233057961,-0.6111274367044841,0.541115217307254,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
DLCT6b_100,-0.13243172236498899,0.21780176630777323,-0.6080378713635004,0.5431623565066748,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MSN_209,-0.1557874376560565,0.2579879610969865,-0.6038554550903662,0.5459397465185851,18506,0.9870074201167115,74,AD_FinnGen_R11,cluster
DLCT6b_106,-0.15482917586671321,0.25681365352057917,-0.6028852973516314,0.5465849975212369,18506,0.9870074201167115,73,AD_FinnGen_R11,cluster
Splat_373,-0.13320219146773699,0.22140886960292444,-0.601611813052577,0.5474325636875399,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_356,-0.131231512885612,0.22031527548264737,-0.595653263706393,0.5514068861874502,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
DLNP_88,-0.1381428367112299,0.23280147930052325,-0.59339329426211,0.5529179755730125,18506,0.9870074201167115,92,AD_FinnGen_R11,cluster
Splat_365,-0.13032878272905318,0.21998370030300482,-0.5924474520136662,0.5535509988142515,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MSN_221,-0.131188655970385,0.22238863029624906,-0.589907207916275,0.5552528614723395,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
COP_38,-0.16891567349657285,0.2886027912300907,-0.585287733277339,0.5583542615751268,18506,0.9870074201167115,57,AD_FinnGen_R11,cluster
EMSN_234,-0.1285722735553383,0.22060822817340295,-0.5828081509918915,0.5600224572229371,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
LLC_266,-0.12715444615347138,0.22263345993723452,-0.5711380768610393,0.567906049504254,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
CA13_183,-0.14855541253343246,0.26013190261434377,-0.5710772536564728,0.5679472766960956,18506,0.9870074201167115,72,AD_FinnGen_R11,cluster
Splat_384,-0.1271250140040219,0.22350155798071453,-0.5687880440412467,0.5694999893484958,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
DLCT6b_110,-0.12490232465364055,0.22105100920393822,-0.5650384728097197,0.5720475961867855,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
CA13_179,-0.1253096413968737,0.22178666524785798,-0.565000791444489,0.5720732258586181,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MGE_259,-0.1259761556021107,0.22405354500402233,-0.5622591492575987,0.5739394666602629,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Amex_406,-0.12450961750018584,0.2218660394068492,-0.5611927712463691,0.5746661303255286,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Amex_407,-0.125248013413975,0.22404056891590332,-0.5590416683015501,0.5761332830102202,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
